8 57 32 335618 1 30412
8 57 32 385058 1 30462
8 57 32 434350 1 30512
8 57 32 483621 1 30562
8 57 32 532620 1 30612
8 57 32 585858 1 30662
8 57 32 635050 1 30712
8 57 32 684251 1 30763
8 57 32 733038 1 30813
8 57 32 786417 1 30863
8 57 32 835478 1 30913
8 57 32 885071 1 30963
8 57 32 934145 1 31013
8 57 32 983413 1 31063
8 57 33 36446 1 31113
8 57 33 85662 1 31163
8 57 33 134512 1 31213
8 57 33 183737 1 31263
8 57 33 237160 1 31313
8 57 33 286147 1 31363
8 57 33 335173 1 31413
8 57 33 384848 1 31463
8 57 33 437747 1 31513
8 57 33 487216 1 31563
8 57 33 536005 1 31613
8 57 33 585289 1 31663
8 57 33 634472 1 31713
8 57 33 687604 1 31763
8 57 33 736731 1 31813
8 57 33 786071 1 31863
8 57 33 835373 1 31913
8 57 33 884220 1 31963
8 57 33 937730 1 32013
8 57 33 986536 1 32063
8 57 34 35711 1 32113
8 57 34 85095 1 32163
8 57 34 138324 1 32214
8 57 34 187224 1 32264
8 57 34 236412 1 32314
8 57 34 285916 1 32364
8 57 34 338979 1 32414
8 57 34 388356 1 32464
8 57 34 437225 1 32514
8 57 34 486532 1 32564
8 57 34 535577 1 32614
8 57 34 588662 1 32664
8 57 34 638210 1 32714
8 57 34 687182 0 32764
8 57 34 736557 0 32814
8 57 34 789265 0 32864
8 57 34 839035 0 32914
8 57 34 887841 0 32964
8 57 34 937156 0 33014
8 57 34 990008 0 33064
8 57 35 39022 0 33114
8 57 35 88414 0 33164
8 57 35 137644 0 33214
8 57 35 186889 0 33264
8 57 35 239936 0 33314
8 57 35 289425 0 33364
8 57 35 338618 0 33414
8 57 35 387560 0 33464
8 57 35 436704 0 33514
8 57 35 490101 0 33564
8 57 35 539414 0 33614
8 57 35 588139 0 33664
8 57 35 637440 0 33714
8 57 35 686816 0 33764
8 57 35 739798 0 33814
8 57 35 789165 0 33864
8 57 35 838288 0 33914
8 57 35 887149 0 33964
8 57 35 940451 0 34014
8 57 35 989811 0 34064
8 57 36 38768 0 34114
8 57 36 87779 0 34164
8 57 36 140955 0 34214
8 57 36 190315 0 34264
8 57 36 239731 -1 34314
8 57 36 288678 -1 34364
8 57 36 338079 -1 34414
8 57 36 391260 -1 34464
8 57 36 440224 -1 34514
8 57 36 489557 -1 34564
8 57 36 538455 -1 34614
8 57 36 587549 -1 34664
8 57 36 641114 -1 34714
8 57 36 690338 -1 34764
8 57 36 739292 -1 34814
8 57 36 788450 -1 34864
8 57 36 837778 -1 34914
8 57 36 890924 -1 34964
8 57 36 940274 -1 35014
8 57 36 988987 -1 35064
8 57 37 38443 -1 35115
8 57 37 91496 -1 35165
8 57 37 140775 -1 35215
8 57 37 189888 -1 35265
8 57 37 239394 -1 35315
8 57 37 292440 -1 35365
8 57 37 341479 -1 35415
8 57 37 390348 -1 35465
8 57 37 439969 -1 35515
8 57 37 492739 -1 35565
8 57 37 542202 -1 35615
8 57 37 591417 -1 35665
8 57 37 640727 -1 35715
8 57 37 689742 -1 35765
8 57 37 743045 -1 35815
8 57 37 792032 -1 35865
8 57 37 841458 -1 35915
8 57 37 890315 -1 35965
8 57 37 939497 -1 36015
8 57 37 992774 -1 36065
8 57 38 41964 -1 36115
8 57 38 91239 -1 36165
8 57 38 140186 -1 36215
8 57 38 193517 -1 36265
8 57 38 242739 -1 36315
8 57 38 291579 -1 36365
8 57 38 340690 -1 36415
8 57 38 389824 -1 36465
8 57 38 443064 -1 36515
8 57 38 492224 -1 36566
8 57 38 541433 -1 36616
8 57 38 590579 -1 36666
8 57 38 643813 -1 36716
8 57 38 693047 -1 36766
8 57 38 742095 -1 36816
8 57 38 791407 -1 36866
8 57 38 844683 -1 36916
8 57 38 893696 -1 36966
8 57 38 943010 -1 37016
8 57 38 992052 -1 37066
8 57 39 45514 -1 37116
8 57 39 94577 -1 37166
8 57 39 143726 -1 37216
8 57 39 192752 -1 37266
8 57 39 242259 -1 37316
8 57 39 295383 -1 37366
8 57 39 344594 -1 37416
8 57 39 393752 -1 37466
8 57 39 442896 -1 37516
